industry,N,mean,std,skew,kurt,min,p1,p5,p25,p50,p75,p95,p99,max
"Agriculture, Forestry, Fishing",3212.0,0.8246913787136195,1.1348290118239484,0.11797304989131321,7.082132068082262,-6.780768550059446,-1.843328261511909,-0.5892803709115707,0.24645196698691293,0.732345375053074,1.3233307302244013,2.6875327626831553,4.942239718202256,6.074192072038322
Construction,14216.0,1.4127165641716553,1.1471036006656727,1.2281753609934596,8.606319917243832,-5.303492632653333,-1.293900477113066,-0.16304997689715828,0.7486655506627489,1.3337919016518236,1.963387395277216,3.2061308836188913,5.088491075967134,12.991163433067383
"Finance, Insurance, Real Estate",49193.0,0.8026485084925439,0.8053459700596187,0.7910112699820333,3.9691027945605724,-5.61793358604472,-0.8457755646381865,-0.25407643584335704,0.2824356761974829,0.72025299651063,1.2164224119079905,2.1813211823773573,3.3340269055368377,7.4665295308422035
Manufacturing,71951.0,1.2241989888515088,1.1763587960031283,0.7279082165329319,5.528533842458136,-10.730458731358375,-1.4870746339893768,-0.3214584383050031,0.5406791240897554,1.1233679207415679,1.770697016166093,3.209853204008858,5.0251046912240955,10.850904249949878
Mining,29251.0,1.5243074614164953,1.6375003465574198,1.372322052267934,15.652129005997065,-20.176894113018765,-1.6240829815993654,-0.36961028472863866,0.627970237848272,1.3608728662806644,2.163681879172058,4.023758243926164,7.3169365475897,22.180874832264404
Other,983.0,1.0121848168470673,1.5698352095220343,-0.5806272678519458,6.115090111551828,-9.002542056406782,-4.248422388041543,-0.7261236710683646,0.18506076141120875,0.8283728137143231,1.8278942380403282,3.4954354558857337,5.7758577975936385,6.957751378722119
Public Administration,11136.0,1.2706734072490617,1.615465573214979,2.0197742115971917,14.232971337691815,-6.465271362657076,-2.588279044106088,-0.6605254854994269,0.3839833375263789,1.1053557209477742,1.909037827940229,3.8585952643754164,6.980419578937585,18.60217910465634
Retail Trade,38780.0,1.1427032108655228,1.0956750549328451,1.23488262343799,8.839539928286355,-6.0128593134587724,-1.1951110571158896,-0.33292752434795353,0.5192746082941166,1.02916067233721,1.6638343749828381,2.9659504918020114,4.456862812952047,15.172712716070023
Services,42961.0,1.3767128415378167,1.358425997190836,1.1988745095441733,9.733754357858688,-11.917959092909715,-1.5273110302782664,-0.3330982235895851,0.6319718284793445,1.213926497959569,1.9448439055717013,3.687093139005564,5.695805064421687,16.547759415398588
Transportation & Utilities,41508.0,0.9348588768167815,1.0390862858711483,2.200260236608705,13.059612622360575,-4.464925191224892,-0.9964565679148567,-0.24444372236748288,0.3232073778736968,0.7631573979049977,1.3291207341841937,2.688956725944198,4.576796111891139,15.02145007678459
Unknown,77.0,1.7224218812019283,2.4565028716083885,1.4673676420149107,0.773509096810141,0.007950888398995746,0.008706120678750909,0.009281862639082112,0.03746979625589949,0.07145049979743694,1.9050862849818802,7.047334340729561,7.53216559764884,7.773433441873457
Wholesale Trade,29061.0,1.204358992827938,1.1614410543942686,1.7017016678632026,12.366325287967506,-6.218511107209073,-1.2299293260391029,-0.3320070897111596,0.5551753847940185,1.1060627131040204,1.7179196144589193,3.013563954457846,4.7896282307552225,16.406941567572318
